"","value","date"
"859",228505,"7/30/2016"
"860",287502,"7/31/2004"
"861",421910,"7/31/2010"
"862",672009,"7/4/2009"
"863",340438,"7/4/2015"
"864",546935,"7/5/2003"
"865",470720,"7/5/2008"
"866",366314,"7/5/2014"
"867",500619,"7/6/2002"
"868",406604,"7/6/2013"
"869",241034,"7/6/2019"
"870",517662,"7/7/2001"
"871",379233,"7/7/2007"
"872",450694,"7/7/2012"
"873",230145,"7/7/2018"
"874",371767,"7/8/2000"
"875",371869,"7/8/2006"
"876",253421,"7/8/2017"
"877",369849,"7/9/2005"
"878",463808,"7/9/2011"
"879",265461,"7/9/2016"
"880",482044,"8/1/2009"
"881",236020,"8/1/2015"
"882",309352,"8/10/2002"
"883",277965,"8/10/2013"
"884",169643,"8/10/2019"
"885",312576,"8/11/2001"
"886",253811,"8/11/2007"
"887",307941,"8/11/2012"
"888",171593,"8/11/2018"
"889",247703,"8/12/2000"
"890",248054,"8/12/2006"
"891",192924,"8/12/2017"
"892",247996,"8/13/2005"
"893",339745,"8/13/2011"
"894",214460,"8/13/2016"
"895",270909,"8/14/2004"
"896",379350,"8/14/2010"
"897",455471,"8/15/2009"
"898",224238,"8/15/2015"
"899",309480,"8/16/2003"
"900",336542,"8/16/2008"
"901",246246,"8/16/2014"
"902",310181,"8/17/2002"
"903",276782,"8/17/2013"
"904",175163,"8/17/2019"
"905",303754,"8/18/2001"
"906",262537,"8/18/2007"
"907",308829,"8/18/2012"
"908",174233,"8/18/2018"
"909",234024,"8/19/2000"
"910",247101,"8/19/2006"
"911",194239,"8/19/2017"
"912",343853,"8/2/2003"
"913",366208,"8/2/2008"
"914",266126,"8/2/2014"
"915",249095,"8/20/2005"
"916",332493,"8/20/2011"
"917",213844,"8/20/2016"
"918",272856,"8/21/2004"
"919",378072,"8/21/2010"
"920",455637,"8/22/2009"
"921",228277,"8/22/2015"
"922",315612,"8/23/2003"
"923",353816,"8/23/2008"
"924",247199,"8/23/2014"
"925",306667,"8/24/2002"
"926",266435,"8/24/2013"
"927",178125,"8/24/2019"
"928",314347,"8/25/2001"
"929",254401,"8/25/2007"
"930",306870,"8/25/2012"
